ExpirationDate,2022-01-01
10000000>1280000000,10.000>20.1,0.17
10000000>1280000000,1>9.99999,0.1
10000000>1280000000,-9>0.999999,0.11
10000000>1280000000,-29>-9.0000001,0.11
10000000>1280000000,-30>-29.0000001,0.22
10000000>1280000000,-33>-30.0000001,0.21
10000000>1280000000,-39>-33.0000001,0.22
10000000>1280000000,-44>-39.0000001,0.24
10000000>1280000000,-46>-44.0000001,0.25
10000000>1280000000,-47>-46.0000001,0.26
10000000>1280000000,-48>-47.000001,0.26
10000000>1280000000,-49>-48.000001,0.28
10000000>1280000000,-50>-49.000001,0.3
10000000>1280000000,-51>-50.000001,0.41
10000000>1280000000,-52>-51.000001,0.44
10000000>1280000000,-53>-52.000001,0.49
10000000>1280000000,-54>-53.000001,0.56
10000000>1280000000,-55>-54.000001,0.65
10000000>1280000000,-56>-55.000001,0.77
10000000>1280000000,-57>-56.000001,0.94
10000000>1280000000,-58>-57.000001,1.15
10000000>1280000000,-59>-58.000001,1.42
10000000>1280000000,-60>-59.000001,1.77
10000000>1280000000,-61>-60.000001,2.22
10000000>1280000000,-62>-61.000001,2.77
10000000>1280000000,-63>-62.000001,3.48
10000000>1280000000,-64>-63.000001,4.37
10000000>1280000000,-65>-64.000001,5.49
10000000>1280000000,-66>-65.000001,6.9
10000000>1280000000,-67>-66.000001,8.68
10000000>1280000000,-68>-67.000001,10.93
10000000>1280000000,-69>-68.000001,13.75
10000000>1280000000,-70>-69.000001,17.31
10000000>1280000000,-71>-70.000001,21.79

